Key_PID_RKEY,Record_Type,Profile_id,Profile_name,averageValue,blankCount,blankPercent,columnId,columnKey,columnName,columnType,containLeadTrailSpaces,containLineFeeds,distinctCount,distinctPercent,documentedDataType,duplicateCount,duplicatePercent,isConflictingInfDocumentDataType,isLeafNode,isPatternOutlier,isValueFreqOutlier,maximumLength,maximumValue,minimumLength,minimumValue,nulCount,nulPercent,order,profileKey,runKey,standardDeviation,topPatternPercent,totalPatterns,totalRows,totalSum,xpath,zeroCount,zeroPercent
81c60f50-fa3b-4d34-aabe-fbf8ec7020ac2,Latest Run,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,,0,0.0,adf46051-790f-46df-a3a8-99ccec415121,10001,EMAIL,DATASOURCEFIELD,False,False,827,28.71,varchar(200),1959.0,67.99,False,,False,True,50,ZORAIDA.GROPP@BUDGENS.CO.UK,6,@HIPERDINO.ES,95,3.3,11,2,2,,96.7,2,2881,,,0,0.0
81c60f50-fa3b-4d34-aabe-fbf8ec7020ac2,Latest Run,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,,1,0.03,1fbb5561-7c2c-4769-891d-27033c346415,10002,TITLE,DATASOURCEFIELD,False,False,126,4.37,varchar(200),2633.0,91.4,False,,False,False,39,VP,1, ,122,4.23,10,2,2,,83.51,4,2881,,,0,0.0
81c60f50-fa3b-4d34-aabe-fbf8ec7020ac2,Latest Run,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,,0,0.0,bef1bbf2-7085-42e3-8182-f9f949279bfc,10003,ADDR1,DATASOURCEFIELD,False,False,1179,40.92,varchar(200),1681.0,58.35,False,,False,True,52,VIVIENDAS DEL SOL 11,5,  668 NORTH BROAD STREET,21,0.73,2,2,2,,99.27,2,2881,,,0,0.0
81c60f50-fa3b-4d34-aabe-fbf8ec7020ac2,Latest Run,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,,0,0.0,70787851-4296-4cc4-bc6f-50aba053a76f,10004,ADDR4,DATASOURCEFIELD,False,False,867,30.09,varchar(20),1962.0,68.11,False,,True,True,10,YO30 4WZ,2, E7 8QJ,52,1.8,5,2,2,,44.64,7,2881,,,0,0.0
81c60f50-fa3b-4d34-aabe-fbf8ec7020ac2,Latest Run,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,,0,0.0,15c19d42-defd-4736-a3b3-a74f4f6aca58,10005,ADDR3,DATASOURCEFIELD,False,False,182,6.32,varchar(100),2573.0,89.31,False,,False,True,29,YORKSHIRE ,2,AL,126,4.37,4,2,2,,74.35,3,2881,,,0,0.0
81c60f50-fa3b-4d34-aabe-fbf8ec7020ac2,Latest Run,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,,0,0.0,ebdeeb82-55cc-4264-8c53-26afa145c21c,10006,COMPANY,DATASOURCEFIELD,False,False,420,14.58,varchar(200),2461.0,85.42,False,,False,False,36,Yeovale Stores,3,"  Publix Super Markets, Inc.",0,0.0,1,2,2,,100.0,1,2881,,,0,0.0
81c60f50-fa3b-4d34-aabe-fbf8ec7020ac2,Latest Run,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,,0,0.0,86140d7c-fa01-4b0b-8ce1-1637186af678,10007,ADDR2,DATASOURCEFIELD,False,False,676,23.46,varchar(100),2130.0,73.94,False,,False,True,25,ZEBULON,3, KIDDERMINSTER,75,2.6,3,2,2,,37.59,7,2881,,,0,0.0
81c60f50-fa3b-4d34-aabe-fbf8ec7020ac2,Latest Run,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,,0,0.0,c92d1b49-04f3-48f5-97ef-70b118aca72c,10008,COUNTRY,DATASOURCEFIELD,False,False,10,0.35,varchar(100),2871.0,99.65,False,,False,True,13,USA,2,AMERICA,0,0.0,6,2,2,,80.77,3,2881,,,0,0.0
81c60f50-fa3b-4d34-aabe-fbf8ec7020ac2,Latest Run,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,,0,0.0,162cb67a-0698-4472-8cd6-7e21ca78e9a0,10009,CUST_ID,DATASOURCEFIELD,False,False,2881,100.0,varchar(10),0.0,0.0,True,,False,False,4,R,1,10,0,0.0,0,2,2,,69.32,3,2881,,,0,0.0
81c60f50-fa3b-4d34-aabe-fbf8ec7020ac2,Latest Run,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,,0,0.0,7f009f86-2e06-4e0f-8fde-a68876d20ba6,10010,NAMEPREFIX,DATASOURCEFIELD,False,False,19,0.66,varchar(50),781.0,27.11,False,,True,True,7,Ms.,2,MISS,2081,72.23,7,2,2,,72.23,5,2881,,,0,0.0
81c60f50-fa3b-4d34-aabe-fbf8ec7020ac2,Latest Run,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,,0,0.0,547b0ea9-ca10-47dc-b044-9476f3843abe,10011,PHONE,DATASOURCEFIELD,False,False,1042,36.17,varchar(100),1778.0,61.71,False,,False,True,26,XXX-921-7695,5, 230 980 2341,61,2.12,12,2,2,,50.3,4,2881,,,0,0.0
81c60f50-fa3b-4d34-aabe-fbf8ec7020ac2,Latest Run,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,,0,0.0,b36d9194-ebe3-4622-a11d-7abdc952d4ad,10012,FIRSTNAME,DATASOURCEFIELD,False,False,872,30.27,varchar(200),1989.0,69.04,False,,False,True,11,ZORAIDA,1,AARON,20,0.69,8,2,2,,24.33,8,2881,,,0,0.0
81c60f50-fa3b-4d34-aabe-fbf8ec7020ac2,Latest Run,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,,0,0.0,1cf98930-3f92-4015-a648-d8ddffaa3821,10013,SURNAME,DATASOURCEFIELD,False,False,837,29.05,varchar(200),2032.0,70.53,False,,True,True,11,ZUNIGA,2,ABELAR,12,0.42,9,2,2,,26.24,9,2881,,,0,0.0
81c60f50-fa3b-4d34-aabe-fbf8ec7020ac1,Previous Run,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,,0,0.0,adf46051-790f-46df-a3a8-99ccec415121,10001,EMAIL,DATASOURCEFIELD,False,False,827,28.71,varchar(200),1959.0,67.99,False,,False,True,50,ZORAIDA.GROPP@BUDGENS.CO.UK,6,@HIPERDINO.ES,95,3.3,11,2,1,,96.7,2,2881,,,0,0.0
