Record_Type,profile_id,profile_name,profile_run_key,profile_start_time,profile_end_time,profile_execution_Time,rows_Processed,run_status,runCostInMB,Key_PID_RKEY
Latest Run,fc0db5ec-0b0e-4488-8066-e3ed625e90e7,CDP_DB_View,2,2022-05-13 10:48:29,2022-05-13 10:50:56,147.262,6,COMPLETED,0.028167724609375,fc0db5ec-0b0e-4488-8066-e3ed625e90e72
Previous Run,fc0db5ec-0b0e-4488-8066-e3ed625e90e7,CDP_DB_View,1,2022-05-13 10:43:14,2022-05-13 10:45:36,141.384,6,COMPLETED,0.028167724609375,fc0db5ec-0b0e-4488-8066-e3ed625e90e71
Latest Run,33a93b86-901c-4f73-bfad-c185c02d65c7,CDP_Mobile_Number,2,2022-03-28 09:21:14,2022-03-28 09:24:12,178.391,34,COMPLETED,0.02712535858154297,33a93b86-901c-4f73-bfad-c185c02d65c72
Previous Run,33a93b86-901c-4f73-bfad-c185c02d65c7,CDP_Mobile_Number,1,2022-03-07 03:05:42,2022-03-07 03:07:52,129.989,27,COMPLETED,0.009485244750976562,33a93b86-901c-4f73-bfad-c185c02d65c71
Latest Run,dc45dd41-4fe9-4724-822e-ae060edaa5cc,Gateaway_Profile,4,2022-05-13 06:51:42,2022-05-13 06:55:59,257.074,2,COMPLETED,0.008749008178710938,dc45dd41-4fe9-4724-822e-ae060edaa5cc4
Previous Run,dc45dd41-4fe9-4724-822e-ae060edaa5cc,Gateaway_Profile,3,2022-05-13 06:43:05,2022-05-13 06:47:24,259.061,2,COMPLETED,0.008749008178710938,dc45dd41-4fe9-4724-822e-ae060edaa5cc3
Previous Run - 1,dc45dd41-4fe9-4724-822e-ae060edaa5cc,Gateaway_Profile,2,2022-05-13 06:33:25,2022-05-13 06:36:04,159.132,2,COMPLETED,0.006069183349609375,dc45dd41-4fe9-4724-822e-ae060edaa5cc2
Previous Run - 2,dc45dd41-4fe9-4724-822e-ae060edaa5cc,Gateaway_Profile,1,2022-05-13 06:28:34,2022-05-13 06:30:30,115.49,2,COMPLETED,0.0045604705810546875,dc45dd41-4fe9-4724-822e-ae060edaa5cc1
Latest Run,6d824f10-8032-49e4-b6b3-0e65b3ca8dc0,KC_EMPDATA_Profile,9,2023-02-21 23:56:03,2023-02-21 23:57:28,85.294,100,COMPLETED,0.7738723754882812,6d824f10-8032-49e4-b6b3-0e65b3ca8dc09
Previous Run,6d824f10-8032-49e4-b6b3-0e65b3ca8dc0,KC_EMPDATA_Profile,8,2023-02-21 23:52:01,2023-02-21 23:53:27,86.465,100,COMPLETED,0.7738723754882812,6d824f10-8032-49e4-b6b3-0e65b3ca8dc08
Previous Run - 1,6d824f10-8032-49e4-b6b3-0e65b3ca8dc0,KC_EMPDATA_Profile,7,2023-02-21 23:41:15,2023-02-21 23:42:37,82.042,100,COMPLETED,0.7738723754882812,6d824f10-8032-49e4-b6b3-0e65b3ca8dc07
Previous Run - 2,6d824f10-8032-49e4-b6b3-0e65b3ca8dc0,KC_EMPDATA_Profile,6,2023-02-21 23:36:45,2023-02-21 23:38:46,120.909,100,COMPLETED,0.7738723754882812,6d824f10-8032-49e4-b6b3-0e65b3ca8dc06
Previous Run - 3,6d824f10-8032-49e4-b6b3-0e65b3ca8dc0,KC_EMPDATA_Profile,5,2022-07-06 11:54:50,2022-07-06 11:56:11,80.812,100,COMPLETED,0.05017280578613281,6d824f10-8032-49e4-b6b3-0e65b3ca8dc05
Previous Run - 4,6d824f10-8032-49e4-b6b3-0e65b3ca8dc0,KC_EMPDATA_Profile,4,2022-06-21 18:41:58,2022-06-21 18:43:17,78.21,100,COMPLETED,0.05017280578613281,6d824f10-8032-49e4-b6b3-0e65b3ca8dc04
Previous Run - 5,6d824f10-8032-49e4-b6b3-0e65b3ca8dc0,KC_EMPDATA_Profile,3,2022-06-21 18:39:00,2022-06-21 18:41:35,154.708,100,COMPLETED,0.05017280578613281,6d824f10-8032-49e4-b6b3-0e65b3ca8dc03
Previous Run - 6,6d824f10-8032-49e4-b6b3-0e65b3ca8dc0,KC_EMPDATA_Profile,2,2022-04-29 16:12:51,2022-04-29 16:14:06,75.631,100,COMPLETED,0.05017280578613281,6d824f10-8032-49e4-b6b3-0e65b3ca8dc02
Previous Run - 7,6d824f10-8032-49e4-b6b3-0e65b3ca8dc0,KC_EMPDATA_Profile,1,2022-04-29 15:52:34,2022-04-29 15:53:48,74.481,100,COMPLETED,0.05300617218017578,6d824f10-8032-49e4-b6b3-0e65b3ca8dc01
Latest Run,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,4,2022-05-12 10:41:29,2022-05-12 10:44:08,158.548,2881,COMPLETED,0.8795833587646484,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac4
Previous Run,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,3,2022-04-28 03:58:18,2022-04-28 04:01:11,172.682,2881,COMPLETED,0.8744173049926758,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac3
Previous Run - 1,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,2,2021-07-23 04:17:36,2021-07-23 04:19:57,140.791,2881,COMPLETED,0.8726778030395508,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac2
Previous Run - 2,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac,Prfl_SuperMarket_Contact,1,2021-04-26 08:46:00,2021-04-26 08:48:45,164.729,2881,COMPLETED,0.8559236526489258,81c60f50-fa3b-4d34-aabe-fbf8ec7020ac1
Latest Run,c0a7f231-0d02-4ce5-a612-91d3e0ebe8e7,prf_dentists_file,3,2022-04-01 14:45:01,2022-04-01 14:52:19,437.338,162,COMPLETED,0.21219348907470703,c0a7f231-0d02-4ce5-a612-91d3e0ebe8e73
Previous Run,c0a7f231-0d02-4ce5-a612-91d3e0ebe8e7,prf_dentists_file,2,2022-04-01 14:31:37,2022-04-01 14:38:50,432.982,162,COMPLETED,0.21219348907470703,c0a7f231-0d02-4ce5-a612-91d3e0ebe8e72
Previous Run - 1,c0a7f231-0d02-4ce5-a612-91d3e0ebe8e7,prf_dentists_file,1,2022-04-01 13:52:39,2022-04-01 13:59:55,435.615,162,COMPLETED,0.20948314666748047,c0a7f231-0d02-4ce5-a612-91d3e0ebe8e71
Latest Run,4fb36bac-cf87-4d4f-ae1c-0f1120656ccc,prf_S3_CSV,1,2022-02-22 12:57:54,2022-02-22 12:59:17,82.552,20,COMPLETED,0.23813724517822266,4fb36bac-cf87-4d4f-ae1c-0f1120656ccc1
Latest Run,c770c287-098d-41c2-b1ba-90f1a0da99af,prf_sfdc_accounts,4,2022-04-22 02:02:08,2022-04-22 02:03:43,95.187,20,COMPLETED,0.20566654205322266,c770c287-098d-41c2-b1ba-90f1a0da99af4
Previous Run,c770c287-098d-41c2-b1ba-90f1a0da99af,prf_sfdc_accounts,3,2022-03-04 06:54:16,2022-03-04 06:56:03,107.283,20,COMPLETED,0.22267723083496094,c770c287-098d-41c2-b1ba-90f1a0da99af3
Previous Run - 1,c770c287-098d-41c2-b1ba-90f1a0da99af,prf_sfdc_accounts,2,2022-03-04 06:42:43,2022-03-04 06:44:19,95.711,20,COMPLETED,0.2298564910888672,c770c287-098d-41c2-b1ba-90f1a0da99af2
Previous Run - 2,c770c287-098d-41c2-b1ba-90f1a0da99af,prf_sfdc_accounts,1,2022-02-22 11:11:55,2022-02-22 11:13:55,119.262,20,COMPLETED,0.2200174331665039,c770c287-098d-41c2-b1ba-90f1a0da99af1
Latest Run,6583b814-3f0f-4b10-9565-081114218e3f,Profile,1,2022-01-06 16:22:33,2022-01-06 16:23:18,45.76,27,COMPLETED,0.009975433349609375,6583b814-3f0f-4b10-9565-081114218e3f1
Latest Run,0f73c456-0d2b-4d8e-a74c-ee8b270b9df3,Profile,1,2022-02-02 15:23:39,2022-02-02 15:24:27,47.182,107,COMPLETED,0.07530498504638672,0f73c456-0d2b-4d8e-a74c-ee8b270b9df31
Latest Run,ac71bae5-ce39-4891-85d0-b0a3e2e43ece,Profile1,1,2022-02-04 10:24:27,2022-02-04 10:25:16,48.835,107,COMPLETED,0.08610153198242188,ac71bae5-ce39-4891-85d0-b0a3e2e43ece1
Latest Run,12c49cc4-c4b0-4559-9e9f-12863bb871f7,Profile_Country,1,2022-03-30 07:00:00,2022-03-30 07:01:01,60.933,25,COMPLETED,0.011440277099609375,12c49cc4-c4b0-4559-9e9f-12863bb871f71
Latest Run,127a6203-7ed3-4609-8dc0-00e859ed0efe,Profile_CUSTOMER,2,2023-02-01 19:23:45,2023-02-01 19:24:56,71.152,100,COMPLETED,0.20143890380859375,127a6203-7ed3-4609-8dc0-00e859ed0efe2
Previous Run,127a6203-7ed3-4609-8dc0-00e859ed0efe,Profile_CUSTOMER,1,2021-09-15 11:51:40,2021-09-15 11:53:50,129.876,936,COMPLETED,0.7667341232299805,127a6203-7ed3-4609-8dc0-00e859ed0efe1
Latest Run,20a1bca5-8718-4d4e-b7b9-e042eb5d7308,Profile_Customer,20,2021-11-12 10:19:38,2021-11-12 10:21:32,114.322,936,COMPLETED,0.6036882400512695,20a1bca5-8718-4d4e-b7b9-e042eb5d730820
Previous Run,20a1bca5-8718-4d4e-b7b9-e042eb5d7308,Profile_Customer,19,2021-10-18 03:25:39,2021-10-18 03:28:32,172.596,936,COMPLETED,0.6037044525146484,20a1bca5-8718-4d4e-b7b9-e042eb5d730819
Previous Run - 1,20a1bca5-8718-4d4e-b7b9-e042eb5d7308,Profile_Customer,18,2021-10-18 01:54:04,2021-10-18 01:57:49,224.905,936,COMPLETED,0.6031703948974609,20a1bca5-8718-4d4e-b7b9-e042eb5d730818
Previous Run - 2,20a1bca5-8718-4d4e-b7b9-e042eb5d7308,Profile_Customer,17,2021-10-14 03:43:29,2021-10-14 03:45:28,119.114,936,COMPLETED,0.6039791107177734,20a1bca5-8718-4d4e-b7b9-e042eb5d730817
Previous Run - 3,20a1bca5-8718-4d4e-b7b9-e042eb5d7308,Profile_Customer,16,2021-10-11 05:25:16,2021-10-11 05:27:13,117.285,936,COMPLETED,0.6033229827880859,20a1bca5-8718-4d4e-b7b9-e042eb5d730816
Previous Run - 4,20a1bca5-8718-4d4e-b7b9-e042eb5d7308,Profile_Customer,15,2021-10-11 05:16:30,2021-10-11 05:18:30,119.953,936,COMPLETED,0.6032161712646484,20a1bca5-8718-4d4e-b7b9-e042eb5d730815
Previous Run - 5,20a1bca5-8718-4d4e-b7b9-e042eb5d7308,Profile_Customer,14,2021-10-11 05:03:37,2021-10-11 05:05:36,119.031,936,COMPLETED,0.6034603118896484,20a1bca5-8718-4d4e-b7b9-e042eb5d730814
Previous Run - 6,20a1bca5-8718-4d4e-b7b9-e042eb5d7308,Profile_Customer,13,2021-10-11 04:54:26,2021-10-11 04:56:23,116.562,936,COMPLETED,0.6035213470458984,20a1bca5-8718-4d4e-b7b9-e042eb5d730813
Previous Run - 7,20a1bca5-8718-4d4e-b7b9-e042eb5d7308,Profile_Customer,12,2021-10-11 04:44:00,2021-10-11 04:46:13,133.232,936,COMPLETED,0.6031398773193359,20a1bca5-8718-4d4e-b7b9-e042eb5d730812
Previous Run - 8,20a1bca5-8718-4d4e-b7b9-e042eb5d7308,Profile_Customer,11,2021-10-11 03:56:07,2021-10-11 03:57:57,109.807,936,COMPLETED,0.6036281585693359,20a1bca5-8718-4d4e-b7b9-e042eb5d730811
Latest Run,58eb5ad0-3a19-4d45-846e-0242d143b490,profile_Customers,2,2019-12-09 19:00:00,2019-12-09 19:00:00,0.0,2212,COMPLETED,0.9903535842895508,58eb5ad0-3a19-4d45-846e-0242d143b4902
Previous Run,58eb5ad0-3a19-4d45-846e-0242d143b490,profile_Customers,1,2019-12-09 19:00:00,2019-12-09 19:00:00,0.0,2212,COMPLETED,0.9905214309692383,58eb5ad0-3a19-4d45-846e-0242d143b4901
Latest Run,307e5f75-dac2-493b-a5d8-1db279c07092,Profile_CUSTOMER_DATA,9,2021-08-23 12:25:51,2021-08-23 12:27:43,111.668,1000,COMPLETED,0.3435039520263672,307e5f75-dac2-493b-a5d8-1db279c070929
Previous Run,307e5f75-dac2-493b-a5d8-1db279c07092,Profile_CUSTOMER_DATA,8,2021-08-23 12:15:35,2021-08-23 12:17:39,123.745,1000,COMPLETED,0.3626251220703125,307e5f75-dac2-493b-a5d8-1db279c070928
